Title (* = favourite),Year,Director,Language
The Cabinet of Dr. Caligari (S),1920,Robert Wiene,German
Nosferatu Symphony of Horror (S),1922,F. W. Murnau,German
Häxan (S),1922,Benjamin Christensen,Danish
Dr. Mabuse Der Spieler (S),1922,Fritz Lang,German
Strike (S),1925,Sergei Eisenstein,- (Russian)
Battleship Potempkin (S),1925,Sergei Eisenstein,- (Russian)
Faust (S),1926,F. W. Murnau,German
Metropolis* (S),1927,Fritz Lang,English
Sunrise* (S),1927,F. W. Murnau,English
The Lodger (S),1927,Alfred Hitchcock,English
Lonesome*,1927,Paul Fejos,"English, English Intertitles"
The Man Who Laughs* (S),1928,Paul Leni,English
Man With A Movie Camera*(S),1929,Dziga Vertov,- (Russian)
Frankenstein,1931,James Whale,English
M,1931,Fritz Lang,German
La Chienne ,1931,Jean Renoir,French
Dracula,1931,Todd Browning,English
The Island of Lost Souls,1932,Eric Kenton,English
L'Atalante ,1934,Jean Vigo,French
The 39 Steps,1935,Alfred Hitchcock,English
Bride of Frankenstein*,1935,James Whale,English
Partie de Capagne,1936,Jean Renoir,French
Fury,1936,Fritz Lang,English
Sabotage,1937,Alfred Hitchcock,English
Le Grande Illusion*,1937,Jean Renoir,French
You Only Live Once*,1937,Fritz Lang,English
La Bête Humaine,1938,Jean Renoir,French
Hotel du Nord,1938,Marcel Carné,French
Gone With The Wind,1939,Victor Flemming,English
Rebecca,1940,Alfred Hitchcock,English
Citizen Kane,1941,Orson Welles,English
Suspicion ,1941,Alfred Hitchcock,English
The Maltese Falcon*,1941,John Huston,English
Cat People,1942,Jacques Tourneur,English
Saboteur,1942,Alfred Hitchcock,English
Shadow of A Doubt,1943,Alfred Hitchcock,English
Le Corbeau*,1943,Henri-Georges Clouzot,French
Ossessione,1943,Luchino Visconti,Italian
The Seventh Victim,1943,Mark Robson,English
Laura ,1944,Otto Preminger,English
Double Indemnity*,1944,Billy Wilder,English
Woman in the Window,1944,Fritz Lang,English
Gaslight*,1944,George Cukor,English
Ivan the Terrible Part 1,1944,Sergei Eisenstein,Russian
I Know Where I'm Going,1945,Michael Powell,English
Spellbound,1945,Alfred Hitchcock,English
Scarlet Street,1945,Fritz Lang,English
Brief Encounter*,1945,David Lean,English
Les Dames Du Bois de Bolougne,1945,Robert Bresson,French
Fallen Angel*,1945,Otto Preminger,English
Notorious*,1946,Alfred Hitchcock,English
A Matter Of Life And Death,1946,Michael Powell,English
Beauty and The Beast,1946,Jean Cocteau,French
The Big Sleep*,1946,Howard Hawks,English
The Killers*,1946,Robert Siodmak,English
They Live by Night,1946,Nicholas Ray,English
The Spiral Staircase*,1946,Robert Siodmak,English
Dragonwyck,1946,Joseph L. Mankiewicz,English
The Stranger ,1946,Orson Welles,
Quai des Orfèvres,1947,Henri-Georges Clouzot,French
Black Narcissus ,1947,Michael Powell,English
The Lady From Shanghai*,1947,Orson Welles,English
Out of the Past*,1947,Jacques Tourneur,English
The Ghost and Mrs. Muir*,1947,Joseph  L. Mankiewicz,English
Dark Passage,1947,Delmer Daves,English
The Red Shoes*,1948,Michael Powell,English
Letter from an Unknown Woman*,1948,Max Ophuls,English
The Naked City,1948,Jules Dassin,English
Force of Evil,1948,Abraham Polonsky,English
The Third Man,1949,Carol Reed,English
Jour de Fete ,1949,Jacques Tanti,French
Stray Dog,1949,Akira Kurosawa,Japanese
A Letter to Three Wives*,1949,Joseph L. Mankiewicz,English
Sunset Boulevard,1950,Billy Wilder,English
House by The River,1950,Fritz Lang,English
Diary of a Country Priest,1950,Robert Bresson,French
Night and the City*,1950,Jules Dassin,English
Strangers on a Train ,1951,Alfred Hitchcock,English
Ace in The Hole,1951,Billy Wilder,English
The 13th Letter,1951,Otto Preminger,English
Umberto D.*,1952,Vittorio Di Sica,Italian
Rancho Notorious ,1952,Fritz Lang,English
I Confess*,1952,Alfred Hitchcock,English
Rashomon*,1952,Akira Kurosawa,Japanese
Tokyo Story,1953,Yasujiro Ozu,Japanese
The Wages Of Fear,1953,Henri-Georges Clouzot,French/Spanish/English
I Vitelloni,1953,Federico Fellini,Italian
Summer With Monika*,1953,Ingmar Bergman,Swedish
The Big Heat*,1953,Fritz Lang,English
La Strada,1954,Federico Fellini,Italian
Rear Window,1954,Alfred Hitchcock,English
Senso,1954,Luchino Visconti,Italian
Sabrina ,1954,Billy Wilder,English
Les Diaboliques*,1955,Henri-Georges Clouzot,French
Night of The Hunter*,1955,Robert Laughton,English
Ordet,1955,Carl Th. Dreyer,Danish
The Trouble With Harry,1955,Alfred Hitchcock,English
The Complete Mr. Arkadin,1955,Orson Welles,English
To Catch a Thief*,1955,Alfred Hitchcock,English
