Title (* = favourite),Year,Director,Language
Knife in the Water,1962,Roman Polanski,Polish
The Haunting*,1963,Robert Wise,English
Trans-Europ Express*,1966,Alain Robbes-Grillet,French
Petulia*,1968,Richard Lester,English
The Bird with the Crystal Plumage,1970,Darío Argento,
Don't Look Now*,1973,Nicolas Roeg,English/Italian
The Long Goodbye*,1973,Robert Altman,English
The Conversation*,1974,Francis Ford Coppola,English
The Night Porter,1974,Liliana Cavali,"German, English"
Shivers,1975,David Cronenberg,English
Network*,1976,Sidney Lumet,English
Rabid,1977,David Cronenberg,English
Suspiria*,1977,Darío Argento,English
The American Friend,1977,Wim Wenders,German/English
Martin,1977,George Romero,English
Eraserhead,1978,David Lynch,English
Camera Buff*,1979,Krystosztof Kieslowski,Polish
Alien,1979,Ridley Scott,English
Bad Timing,1980,Nicolas Roeg,English
Blade Runner*,1982,Ridley Scott,English
The Thing*,1982,John Carpenter,English
Videodrome,1983,David Cronenberg,English
The Dead Zone,1983,David Cronenberg,English
Henry: Portrait of a Serial Killer,1986,John McNaughton,English
The Fly,1986,David Cronenberg,English
Mona Lisa*,1986,Neil Jordan,English
Blue Velvet*,1986,David Lynch,English
House Of Games,1987,David Mamet,English
Blind Chance ,1987,Krystosztof Kieslowski,Polish
Talk Radio,1988,Oliver Stone,English
The Vanishing,1988,George Sluizer,Dutch/French
Dead Ringers*,1988,David Cronenberg,English
Dekalog*,1988,Krystosztof Kieslowski,Polish
Following ,1988,Christopher Nolan,English
They Live,1988,John Carpenter,English
Monsieur Hire*,1989,Patrice Leconte,French
The Hairdresser's Husband,1990,Patrice Leconte,French
Close-Up,1990,Abbas Kiarostami,Persian
Paris is Burning,1990,Jennie Livingston,English
The Double Life of Veronique*,1991,Krystosztof Kieslowski,Polish/French
Bram Stoker's Dracula,1992,Francis Ford Coppola,English
Death and the Compass,1992,Alex Cox,"English, Spanish"
My Neighbour Totoro,1993,Hayao Miyazaki,Japanese
The Remains of The Day,1993,James Ivory,English
Cronos,1993,Guillermo Del Toro,Spanish/English
Ocean Waves*,1993,Tomomi Mochizuki,Japanese
Three Colours: Blue,1993,Krystosztof Kieslowski,Polish
Chungking Express*,1994,Wong Kar-Wai,Chinese
Three Colours: White,1994,Krystosztof Kieslowski,
Three Colours: Red*,1994,Krystosztof Kieslowski,French
The Whisper of the Heart*,1995,Yoshifumi Kondo,Japanese
The Piano*,1995,Jane Campion,English
Twelve Monkeys,1995,Terry Gilliam,English
Crash ,1996,David Cronenberg,English
Fargo,1996,Coen Brothers,
Taste of Cherry,1997,Abbas Kiarostami,Persian
L.A. Confidential*,1997,Curtis Hanson,English
Lost Highway*,1997,David Lynch,English
Lovers of the Arctic Circle,1998,Julio Medem,Spanish
Rushmore*,1998,Wes Anderson,English 
Pleasantville*,1998,Gary Ross,English
Happy Together,1998,Wong Kar-Wai,Mandarin/Spanish
The Wind Will Carry Us,1999,Abbas Kiarostami,Persian
The Girl on the Bridge*,1999,Patrice Leconte,French
The Virgin Suicides,1999,Sofia Coppola,English
eXistenZ*,1999,David Cronenberg,English
In the Mood For Love*,2000,Wong Kar-Wai,Chinese
Spirited Away,2001,Hayao Miyazaki,Japanese
The Devil's Backbone,2001,Guillermo Del Toro,Spanish
Mulholland Drive*,2001,David Lynch,English
Ten,2002,Abbas Kiarostami,Persian
Dracula: Pages From A Virgin's Diary (S),2002,Guy Maddin,English
Punch-Drunk Love*,2002,Paul Thomas Anderson,English
Time Out*,2002,Laurent Cantet,French
Spider*,2002,David Cronenberg,English
28 Days Later*,2002,Danny Boyle,English
The Consequences of Love*,2004,Paolo Sorrentino,Italian
Shaun of the Dead,2004,Edgar Wright,
Caché,2005,Michael Haneke,French
A History of Violence*,2005,David Cronenberg,English
Pan's Labyrinth*,2006,Guillermo Del Toro,Spanish
The Orphanage,2007,J. A. Bayona ,Spanish
Yella ,2007,Christian Petzold,German
Eastern Promises*,2007,David Cronenberg,English
Before the Devil Knows You're Dead,2007,Sidney Lumet,English
Let The Right One In*,2008,Thomas Alfredson,Swedish
In Bruges*,2008,Martin McDonagh ,English
Departures,2009,Yōjirō Takita,Japanese
Let Me In (remake of Let The Right One In),2010,Matt Reeves,English
Certified Copy,2010,Abbas Kiarostami,French/Italian/English
Blue Valentine*,2010,Derek Cianfrance,English
Submarine,2011,Richard Ayoade,English
A Dangerous Method*,2011,David Cronenberg,English
Blancanieves* (S) ,2012,Pablo Berger,Spanish
Amour,2012,Michael Haneke,French
Like Someone In Love*,2012,Abbas Kiarostami,Japanese
Cosmopolis*,2012,David Cronenberg,English
Prometheus*,2012,Ridley Scott,English
The Double ,2013,Richard Ayoade,English
Enemy,2013,Denis Villenueve,English
Stoker ,2013,Park Chan-Wook,English
The World's End*,2013,Edgar Wright,
Her*,2013,Spike Jonze,English
Wild Tales ,2014,Damián Szifron,Spanish
A Girl Walks Home Alone At Night,2014,Ana Lily Amirpour,Persian
Gone Girl,2014,David Fincher,English
Frank,2014,Lenny Abrahamson,English
Inherent Vice,2014,Paul Thomas Anderson,English
Phoenix*,2014,Christian Petzold,German
Maps to the Stars,2014,David Cronenberg,English
Room,2015,Lenny Abrahamson,English
Carol*,2015,Todd Haynes,English
Brooklyn*,2015,John Crowley,English
Crimson Peak,2015,Guillermo Del Toro,English
Youth,2015,Paolo Sorrentino,English
It Follows ,2015,David Robert Mitchell,English
Fan,2016,Shah Rukh Khan,Hindi
Sing Street*,2016,John Carney,English
The Witch,2016,Roger Eggers,English
Captain Fantastic,2016,Matt Ross,English
Arrival*,2016,Denis Villenueve,English
Hell of High Water*,2016,David Mackenzie,English
Julieta,2016,Pedro Almodóvar,Spanish
Indignation*,2016,James Schamus,English
Moonlight*,2017,Barry Jenkins,English
La La Land*,2017,Damien Chazelle,English
Alien: Covenant*,2017,Ridley Scott,English
20th Century Women*,2017,Mike Mills,English
The Salesman,2017,Asghar Farhardi,Persian
The Handmaiden* ,2017,Park Chan-Wook,Japanese/Korean
Blade Runner 2049 ,2017,Denis Villenueve,English
Dunkirk*,2017,Christopher Nolan,English
Baby Driver*,2017,Edgar Wright,English
Good Time*,2017,Safdie Brothers,English
On Body and Soul*,2017,Ildiko Enyedi,Hungarian
Shape of Water*,2018,Guillermo Del Toro,English\
Phantom Thread*,2018,Paul Thomas Anderson,English
Three Billboards Outside Ebbing Missouri*,2018,Martin McDonagh ,English
Call Me By Your Name*,2018,Luca Guadignino ,English
Lady Bird,2018,Greta Gerwig,English
Five Fingers for Marseilles ,2018,Michael Matthews,"Xhosa, SeSotho"
American Animals,2018,Bart Layton,English
Hereditary,2018,Ari Aster,English
Molly's Game,2018,Aaron Sorkin,English
Isle of Dogs,2018,Wes Anderson,English/Japanese
Leave No Trace*,2018,Debra Granik,English
First Man,2018,Damien Chazelle,English
First Reformed*,2018,Paul Schrader,English
Burning*,2018,Lee Chang-Dong,Korean
CAM*,2018,Daniel Goldhaber,English
Us,2019,Jordan Peele,English
